CDODefId,CDOName,Workspace,
1305,ReprocessActivityHistory,csi,
1306,ActivityNewProcessObjects,csi,
1293,PhaseEventLots,csi,
1309,ReorderProcessObjectHistDetail,csi,
1291,DispositionDataEventFailures,csi,
1311,NCREscalateHistoryHistoryDetai,csi,
1312,NCREscalateHistoryNCRFailureCo,csi,
1313,PortalMessageCategory,csi,
1314,CategoryNotificationMap,csi,
1315,CategoryNotificationMapTypes,csi,
1316,NotifVar,csi,
1317,ResponseItem,csi,
1318,ResponseSet,csi,
1319,ChecklistTemplateBase,csi,
1320,ChecklistTemplate,csi,
1307,ReorderProcessObjectHistory,csi,
1279,ContainerCompletedSubTask,csi,
1262,RecordDecisionTreeHistory,csi,
1264,RegulatoryReportHistoryDetail,csi,
1265,NotificationEvent,csi,
1266,ResourceFamily,csi,
1267,RecipeListBase,csi,
1268,RecipeList,csi,
1269,RecipeItem,csi,
1270,RecipeItemPrerequisiteTasks,csi,
1273,RecipeMaterialListItem,csi,
1274,MasterRecipeBase,csi,
1294,ActivityPlanEventLots,csi,
1276,MasterRecipeDetail,csi,
1197,ChangeOwnerHistory,csi,
1280,AssignmentHistory,csi,
1281,HistoryMainlineAdditionalESigs,csi,
1282,UserAttribute,csi,
1283,StartContAttrHistoryDetail,csi,
1284,ContainerCompletedSubTaskRI,csi,
1285,ContainerAttrHistoryDetail,csi,
1286,ContainerAttrMaintHistory,csi,
1287,SignApprovalHistory,csi,
1289,EventClassificationSpecMap,csi,
1290,ActivityEventFailures,csi,
1275,MasterRecipe,csi,
1127,ScheduledBusinessRule,csi,
1140,UpdateCAPAHistory,csi,
1110,DocAttachmentsHistoryHistoryDe,csi,
1115,BizRuleHandlerParameter,csi,
1116,BusinessRuleHandler,csi,
1117,BusinessRuleHandlerData,csi,
1118,BusinessRule,csi,
1119,BusinessRuleData,csi,
1120,BizRuleParameter,csi,
1121,BusinessRuleDataHandlers,csi,
1122,DocAttachmentsDocuments,csi,
1108,EMailDistributionEmployee,csi,
1124,ReturnedEquipmentAction,csi,
1107,EMailDistribution,csi,
1128,Occupation,csi,
1129,SuspectDeviceData,csi,
1130,SuspectDeviceHistoryDetail,csi,
1131,ScheduledBizRuleExecHistory,csi,
1132,CARSeverity,csi,
1133,EventCheckBoxFieldData,csi,
1134,EventCheckBoxFieldHistDetail,csi,
1135,CAPA,csi,
1136,CAPAAdditionalOrganizations,csi,
1199,CAPAHistoryDetailAdditionalOrg,csi,
1123,CustomerContact,csi,
1088,EventComponent,csi,
1074,CreateEventHistory,csi,
1075,EventComponentHistoryDetail,csi,
1076,CustomerHistoryDetail,csi,
1077,EventFailureHistoryDetail,csi,
1078,EventDataHistoryDetail,csi,
1079,EventLotHistoryDetail,csi,
1080,EventLotHistDetailFailureModes,csi,
1081,Event,csi,
1083,EventCurrentCrossRefs,csi,
1085,CustomerData,csi,
1109,EMailDistExternalRecipents,csi,
1087,EventLot,csi,
1143,CreateCAPAHistoryHistoryDetail,csi,
1089,EventLotFailures,csi,
1094,AttachedDocs,csi,
1095,DocAttachments,csi,
1097,DocAttachmentsHistoryDetails,csi,
1098,DocAttachmentsHistory,csi,
1100,DocContents,csi,
1101,EventData,csi,
1104,EventHistoryDetail,csi,
1105,Organization,csi,
1106,EMailMessage,csi,
1086,EventFailure,csi,
1181,BusinessRuleParameterValues,csi,
1138,CreateCAPAHistory,csi,
1170,ProcessModelTemplateonComplete,csi,
1171,ProcessModelonStartRules,csi,
1172,ProcessModelonCompleteRules,csi,
1173,ActivityPlanonStartRules,csi,
1174,ActivityPlanonCompleteRules,csi,
1175,PhaseonStartRules,csi,
1176,PhaseonCompleteRules,csi,
1177,ActivityonExecuteRules,csi,
1178,ChangeProcessHistory,csi,
1168,ActivityTemplateonExecuteRules,csi,
1180,BusinessRuleExecutionHistory,csi,
1167,PlanTemplateonCompleteRules,csi,
1182,QualityResolutionCode,csi,
1183,TriageSpec,csi,
1184,TriageSpecBusinessRules,csi,
1185,TriageSpecDetail,csi,
1187,CloseQualityObjectHistory,csi,
1188,CAPACurrentCrossRefs,csi,
1191,UpdateEventHistory,csi,
1193,NumberingRule,csi,
1195,NumberingRuleMap,csi,
1196,PersistenceStore,csi,
1179,ChangeProcessHistoryHistoryDet,csi,
1156,ActivityPlan,csi,
1144,ProcessModelTemplateBase,csi,
1145,ProcessModelTemplate,csi,
1146,ProcessModelTemplateOrgs,csi,
1147,PhaseTemplate,csi,
1148,PhaseTemplateOrganizations,csi,
1149,PlanTemplate,csi,
1150,PlanTemplateOrganizations,csi,
1151,ActivityTemplate,csi,
1152,ActivityTemplateOrganizations,csi,
1153,ProcessModel,csi,
1169,ProcessModelTemplateonStartRul,csi,
1155,Activity,csi,
1324,DataPointCollectionGroup,csi,
1157,ActivityPrerequisites,csi,
1158,PhasePrerequisites,csi,
1159,ActivityPlanPrerequisites,csi,
1160,ActivityESigHistoryDetails,csi,
1161,PhaseESigHistoryDetails,csi,
1162,ActivityPlanESigHistoryDetails,csi,
1163,ProcessModelESigHistoryDetails,csi,
1164,PhaseTemplateonStartRules,csi,
1165,PhaseTemplateonCompleteRules,csi,
1166,PlanTemplateonStartRules,csi,
1154,Phase,csi,
1484,AssignChangePkgContentHistoryI,csi,
1680,CreateSamplingLotHistoryHistor,csi,
1473,StartChangePkgHistory,csi,
1474,UpdateChangePkgHistory,csi,
1475,TrackableObjectCurrentStatus,csi,
1476,TrackObjCurrentStatusWFStack,csi,
1477,TargetDeployment,csi,
1478,TrackTargetDeploymentHistory,csi,
1479,TrackTargetDeploymentHistoryHi,csi,
1480,ExportImportTarget,csi,
1481,CPTargetSystemHistDtl,csi,
1471,AssignChangePkgContentHistory,csi,
1483,AssignChangePkgContentHistoryT,csi,
1470,ActivateChangePkgHistory,csi,
1485,StartChangePkgHistoryTargetSys,csi,
1486,StartChangePkgHistoryInstances,csi,
1487,UpdateChangePkgHistoryTargetSy,csi,
1488,UpdateChangePkgHistoryInstance,csi,
1489,DeployToTargets,csi,
1490,CPDeployment,csi,
1491,TargetDeploymentHeader,csi,
1492,CPActivation,csi,
1493,AttachDocumentHistory,csi,
1321,ChecklistEntry,csi,
1482,CPModelingInstanceHistDtl,csi,
1454,ChangePackage,csi,
1438,SwitchingRuleDetails,csi,
1439,SamplingCurrentStatus,csi,
1440,SamplingCurrentStatusRI,csi,
1441,ContainerSampleData,csi,
1442,SampleSizeDetails,csi,
1443,ContainerContainerSampleData,csi,
1444,CollectSamplingDataHistory,csi,
1445,CollectSamplingHistoryDetails,csi,
1446,CollectSamplingTestDtlHistory,csi,
1447,TargetSystem,csi,
1472,DeployChangePkgHistory,csi,
1453,ChangePackageReason,csi,
1681,MfgLot,csi,
1455,ChangePackagePriority,csi,
1459,WebPartWorkspacePersonalizatio,csi,
1460,BusinessProcessSpecBase,csi,
1461,BusinessProcessSpec,csi,
1462,BusinessProcessWorkflowBase,csi,
1463,BusinessProcessWorkflow,csi,
1464,ChangeMgtSpecAllowableRoles,csi,
1465,ChangePackageTarget,csi,
1466,CPModelingInstance,csi,
1468,ChangePackageMoveHistory,csi,
1450,ChangeMgtApplication,csi,
1721,ChangePackagePreReqChangePkgs,csi,
1679,CreateSamplingLotHistory,csi,
1709,Timer,csi,
1710,ProcessTimerHistoryDetail,csi,
1711,DelegateTaskHistory,csi,
1712,TimerRI,csi,
1713,ProcessTimerHistory,csi,
1714,ProcessTimerHistoryHistoryDeta,csi,
1715,DelegationTask,csi,
1716,DelegationTaskEntries,csi,
1717,PackageType,csi,
1707,PackageApprovalReminder,csi,
1720,FilterTag,csi,
1706,ContentCollaborationReminder,csi,
1722,OrganizationGEDisallowedTxns,csi,
1723,OrganizationPEDisallowedTxns,csi,
1724,UpdateEventDetailsHistory,csi,
1725,EventDisallowedTxns,csi,
1726,OrganizationAffectedContainers,csi,
1727,BPSpecBizRuleTxnMap,csi,
1728,ComponentReplaceHistory,csi,
271,ActionDefinition,csi,
1730,ComponentReplaceHistoryDetail,csi,
702545980,isImage,csi,
1718,ChangePackageStatusHistory,csi,
1694,ProcessTimerType,csi,
1682,LotSampleData,csi,
1683,UpdateSamplingLotHistory,csi,
1684,UpdateSamplingLotHistoryHistor,csi,
1685,ModelingInstanceLock,csi,
1686,WhereUsedConfig,csi,
1687,WhereUsedConfigDetail,csi,
1688,WhereUsedConfigWhereUsedConfig,csi,
1689,MasterDataCatalog,csi,
1690,MasterDataCatalogDtl,csi,
1691,CollaboratorTemplate,csi,
1708,DelegationReasonCode,csi,
1693,CollaboratorData,csi,
1435,SamplingPlanDetails,csi,
1695,ProcessTimerBase,csi,
1696,ProcessTimer,csi,
1697,ProcessTimerDtl,csi,
1698,EndTimerTxnMap,csi,
1699,StartTimerTxnMap,csi,
1700,StartTimerTaskDtl,csi,
1701,EndTimerTaskDtl,csi,
1702,EmployeeEscalationRecipients,csi,
1704,PackageCreationTemplate,csi,
1705,PackageTemplateTargetSystems,csi,
1692,CollaboratorEntry,csi,
1369,UIFloatPageLocation,csi,
1437,SwitchingRule,csi,
1353,SPCChartDef,csi,
1355,ActionDef,csi,
1356,ActionRule,csi,
1357,ActionDefActionRules,csi,
1358,PortalTab,csi,
1359,SummaryTableDef,csi,
1361,UIPageParameter,csi,
1363,UITarget,csi,
1364,UITargetLink,csi,
1350,ActionsMenuItem,csi,
1368,UIAction,csi,
1349,ActionsMenu,csi,
1370,UIFloatPageLayout,csi,
1371,ButtonLabel,csi,
1372,PermissionDefinition,csi,
1373,QueryStringParameter,csi,
1374,HorizontalShiftOptions,csi,
1375,UserQueryGroup,csi,
1376,UserQueryGroupEntries,csi,
1377,UserQueryGroupGroups,csi,
1378,UserQueryGroupDefaultForObject,csi,
1379,UISourcePage,csi,
1366,UITargetCondition,csi,
1338,CompleteRiskAssessmentHistory,csi,
1068,FailureModeGroupEntries,csi,
1325,DataPointCollection,csi,
1326,ExecuteChecklistHistory,csi,
1328,ExecuteChklstResponseHistDtl,csi,
1329,ExecuteChecklistHistoryDtl,csi,
1330,ChecklistActualResponse,csi,
1331,WebPart,csi,
1332,CollectDataPointsHistory,csi,
1334,DPCollectionGroupHistory,csi,
1335,DPCollectionSampleHistory,csi,
1351,UserProfile,csi,
1337,RiskAssessment,csi,
1382,ResStatusCodeGroupGroups,csi,
1339,EventCustomData,csi,
1340,CAPACustomData,csi,
1341,EventCustomHistoryDetail,csi,
1342,CAPACustomHistoryDetail,csi,
1343,DPCollectionPointSample,csi,
1344,Classification,csi,
1345,SubClassification,csi,
1346,EventDataHistoryDetailSuspectD,csi,
1347,QualityProcessingMap,csi,
1348,NCRDefectData,csi,
1336,DPCollectionPointHistory,csi,
1425,InspectionLevel,csi,
1413,SPCChartHistoryDetail,csi,
1414,RecordSPCViolationHistory,csi,
1415,ChecklistEntryHistoryDetail,csi,
1416,AssignChecklistHistory,csi,
1417,AssignChecklistToEventHistory,csi,
1418,ActionCategory,csi,
1419,OpenQualityObjectHistory,csi,
1420,OpenQualityObjectHistoryHistor,csi,
1421,CommentType,csi,
1422,CollectDataHistory,csi,
1380,ResourceStatusCodeGroup,csi,
1424,ModelingObjsToExclude,csi,
1410,EventDispositionHistoryDetail,csi,
1426,LotSizeDetails,csi,
1427,AQLLevel,csi,
1428,SampleDataPointBase,csi,
1429,SampleDataPoint,csi,
1430,SampleTestBase,csi,
1431,SampleTest,csi,
1432,SampleTestSampleDataPoints,csi,
1433,SamplingPlanBase,csi,
1434,SamplingPlan,csi,
1322,Checklist,csi,
1423,CollectDataHistoryHistoryDetai,csi,
1398,FailureActionType,csi,
1436,SwitchingRuleBase,csi,
1383,ResourceStatusCodeGroupDef,csi,
1384,ResourceStatusModel,csi,
1385,ResourceStatusDiagram,csi,
1386,ResourceType,csi,
1387,ResStatusReasonGroup,csi,
1388,ResStatusReasonGroupEntries,csi,
1389,ResStatusReasonGroupGroups,csi,
1390,ResStatusReasonGroupDefFor,csi,
1391,ReworkStepDetail,csi,
1412,SPCViolationHistoryDetail,csi,
1393,EventFailureAction,csi,
1411,AddSPCAnnotationHistory,csi,
1399,FailureActionTypeGroup,csi,
1400,FailureActionTypeGroupEntries,csi,
1401,FailureActionTypeGroupGroups,csi,
1402,FailureActionTypeGroupDefaultF,csi,
1403,EventLog,csi,
1404,EventLogHistoryDetail,csi,
1405,EventFailureCauseHistoryDetail,csi,
1406,EventFailureActionHistoryDtl,csi,
1408,EventDisposition,csi,
1409,EventLotEventDispositions,csi,
1381,ResStatusCodeGroupEntries,csi,
1392,EventFailureCause,csi,
659,LossReasonGroup,csi,
701,RollupReason,csi,
619,ErrorMsg,csi,
620,CombineHistory,csi,
622,CombineHistoryDetail,csi,
623,CombineHistDetChildContainers,csi,
624,WorkflowStep,csi,
628,WorkflowStepPathSelectors,csi,
629,Customer,csi,
635,UserCodeGroup,csi,
638,BonusReasonGroup,csi,
616,SplitHistory,csi,
654,LocalReworkReasonGroup,csi,
614,CurrentStatusRI,csi,
667,ReworkReasonGroup,csi,
678,ShippingReasonGroup,csi,
679,ThruputHistoryDetail,csi,
680,StartHistoryDtlWorkflowStack,csi,
683,ProductMaterialListItem,csi,
686,VendorItem,csi,
687,Vendor,csi,
695,BillType,csi,
696,BOMBase,csi,
803,SellReasonGroup,csi,
643,ContDefectReasonGroup,csi,
586,ContainerGrpDftForObjTypes,csi,
562,ContainerDefectReason,csi,
564,LocalReworkReason,csi,
565,LossReason,csi,
566,QtyAdjustReason,csi,
567,ResourceStatusCode,csi,
568,ResourceStatusCodeStatusReason,csi,
569,ResourceStatusReason,csi,
570,ScrapReason,csi,
571,SellReason,csi,
582,ContainerGroup,csi,
618,SplitHistoryDetails,csi,
584,ContainerGroupGroups,csi,
702,ProductVendorItems,csi,
587,NamedObjectGroup,csi,
588,NamedObjectGroupEntries,csi,
589,NamedObjectGroupGroups,csi,
591,NamedObjGrpDftForObjTypes,csi,
592,ResourceGroup,csi,
593,ResourceGroupEntries,csi,
594,ResourceGroupGroups,csi,
596,ResourceGroupDftForObjTypes,csi,
605,TransRevOIDs,csi,
611,ContainerRI,csi,
583,ContainerGroupEntries,csi,
773,ResourceThruputHistoryDetails,csi,
698,BOM,csi,
742,ChgAttrHistoryDetailsNewDurLst,csi,
743,ChgAttrHistoryDetailsNewTmsLst,csi,
744,ComponentDefectReason,csi,
745,ContainerDefectHistoryDetail,csi,
746,ComponentDefectHistoryDetail,csi,
747,DefectHistory,csi,
751,UserCodeGroupEntries,csi,
753,UserCodeGroupGroups,csi,
760,CompDefectReasonGroup,csi,
740,ChgAttrHistoryDetailsNewIntLst,csi,
771,ResourceThruputHistory,csi,
739,ChgAttrHistoryDetailsNewFltLst,csi,
776,LocalControl,csi,
778,VersionInfo,csi,
779,RemovalReason,csi,
784,ComponentRemoveHistory,csi,
785,RemoveHistoryDetail,csi,
786,RemoveDifferenceReason,csi,
787,SecurityDescriptor,csi,
789,BuyReasonGroup,csi,
796,UserCodeGrpDefaultForObjTypes,csi,
1070,FailureModeGrpDefaultForObjTyp,csi,
770,InstanceIDCount,csi,
725,ChgObjLstHistoryDetailsOldObjs,csi,
703,ProductSubstitutes,csi,
705,IssueReason,csi,
706,SubstitutionReason,csi,
707,ComponentIssueHistory,csi,
709,IssueHistoryDetail,csi,
710,IssueDifferenceReason,csi,
711,IssueActualsHistory,csi,
712,ReworkStatusReEntryWorkflowStk,csi,
715,ChgAttrHistoryDetails,csi,
722,ChgAttrHistoryOldObjects,csi,
741,ChgAttrHistoryDetailsNewStrLst,csi,
724,ChgObjectListHistoryDetails,csi,
559,SystemSecurityGroup,csi,
726,ChgObjLstHistoryDetailsNewObjs,csi,
730,ChgAttrHistoryDetailsOldStrLst,csi,
731,ChgAttrHistoryDetailsOldDurLst,csi,
732,ChgAttrHistoryDetailsOldTmsLst,csi,
733,ChgAttrHistoryDetailsOldBooLst,csi,
734,ChgAttrHistoryDetailsOldFixLst,csi,
735,ChgAttrHistoryDetailsOldFltLst,csi,
736,ChgAttrHistoryDetailsOldIntLst,csi,
737,ChgAttrHistoryDetailsNewFixLst,csi,
738,ChgAttrHistoryDetailsNewBooLst,csi,
723,ChgAttrHistoryNewObjects,csi,
374,ProductionStatus,csi,
561,BuyReason,csi,
349,UOM,csi,
350,WorkCenter,csi,
352,DataCollectionDef,csi,
353,Document,csi,
358,Setup,csi,
361,Spec,csi,
363,SpecTxnMap,csi,
368,Bin,csi,
369,ChangeStatus,csi,
346,PriorityCode,csi,
372,CurrentStatusWorkflowStack,csi,
344,Owner,csi,
376,ProductionStatusAllowedProduct,csi,
377,DisallowedTxns,csi,
378,DocumentEntry,csi,
379,CollectionGate,csi,
380,CycleTimeGate,csi,
381,ProcessingGate,csi,
382,ProcessingGateOptionalSteps,csi,
383,ProcessingGateRequiredSteps,csi,
384,GateStatus,csi,
385,GateStatusCompletedSteps,csi,
371,CurrentStatus,csi,
296,ResourceLogs,csi,
272,AlarmDefinition,csi,
273,AlarmDefinitionTextVariables,csi,
274,DocumentSet,csi,
276,DocumentViewer,csi,
277,Employee,csi,
278,Enterprise,csi,
283,Factory,csi,
286,MfgOrder,csi,
288,NotificationTarget,csi,
289,Operation,csi,
347,ProductType,csi,
293,ResourceDef,csi,
388,OperationSchedulingDetail,csi,
297,ResourcePMStatus,csi,
301,DocumentBase,csi,
310,ProductBase,csi,
313,SetupBase,csi,
316,SpecBase,csi,
319,WorkflowBase,csi,
322,SalesOrder,csi,
333,TextVariable,csi,
341,StartReason,csi,
343,HoldReason,csi,
291,ProductFamily,csi,
513,ChgAttrHistory,csi,
478,DisassociateHistoryChildCnts,csi,
481,AssociateHistory,csi,
482,AssociateHistoryChildCnts,csi,
483,HistoryMainline,csi,
484,HistoryMainlineAuthorizations,csi,
485,HistoryMainlineHistoryDetails,csi,
491,MoveHistory,csi,
492,HistoryCrossRef,csi,
496,StartHistoryDetail,csi,
499,MoveInHistory,csi,
386,GateStatusStepsRemaining,csi,
508,ResourceStatusHistory,csi,
450,Container,csi,
515,ThruputHistory,csi,
516,HistoryMessage,csi,
519,HistInq,csi,
520,Workflow,csi,
526,SessionValues,csi,
539,ShippingReason,csi,
540,ReworkReason,csi,
541,QtyHistory,csi,
543,QtyHistoryDetails,csi,
804,RollupReasonGroup,csi,
502,Product,csi,
415,WIPMsgConfigOperationsExcluded,csi,
560,BonusReason,csi,
389,SpecSchedulingDetail,csi,
393,Path,csi,
394,PathSelector,csi,
395,ProductOption,csi,
398,ReworkStatus,csi,
400,SpecStatus,csi,
401,SpecStatusCompletedTxns,csi,
410,TxnDetails,csi,
411,TxnMap,csi,
477,DisassociateHistory,csi,
414,WIPMsgConfigWIPMsgCntrEntities,csi,
466,ContainerCurrentCrossRefs,csi,
418,WIPMsgDefMgr,csi,
420,WIPMsgDetails,csi,
421,WIPMsgDetailsNotificationTrgts,csi,
422,WIPMsgKey,csi,
423,WIPMsgLabelKey,csi,
424,WIPMsgOperationKey,csi,
432,DataCollectionDefBase,csi,
437,ContainerLevel,csi,
438,ContainerLevelChildLevels,csi,
439,ContainerLevelParentLevels,csi,
387,Location,csi,
413,WIPMsgConfig,csi,
992,ExecuteTaskHistory,csi,
1008,LabelHistorySummary,csi,
981,NCRResolutionCodeGroupGroups,csi,
982,ElectronicProcedureBase,csi,
983,ElectronicProcedure,csi,
984,TaskListBase,csi,
985,TaskList,csi,
986,TaskItem,csi,
987,EProcedureDetail,csi,
988,TaskItemPrerequisiteTask,csi,
989,DataPoint,csi,
979,NCRFailureCodeGroupGroups,csi,
991,DataPointHistoryDetail,csi,
978,NCRFailureCodeGroupEntries,csi,
994,ExecuteTaskHistPrereqTasks,csi,
999,ContainerCompletedTask,csi,
1000,ContainerCompletedTaskRI,csi,
1001,NCRCurrentCrossRefs,csi,
1002,PrintQueue,csi,
1003,PrinterLabelDefinitionBase,csi,
1004,PrinterLabelDefinition,csi,
1005,LabelTag,csi,
1006,LabelTxnMap,csi,
800,QtyAdjustGroup,csi,
990,DataPointHistory,csi,
967,TrainingRequirementTrainers,csi,
951,NCRComments,csi,
952,NCRCommentsRI,csi,
953,NCRCommentsHistory,csi,
954,NCRUpdateHistoryDetail,csi,
955,NCRUpdateHistDetFailureCodes,csi,
956,NCRDefectHistoryDetails,csi,
957,NCRCreateHistory,csi,
959,NCRCreateHistoryFailureCodes,csi,
961,NCRUpdateHistory,csi,
964,ESigReqTxnMap,csi,
980,NCRResolutionCodeGroupEntries,csi,
966,TrainingRequirement,csi,
1009,PrintLabelHistory,csi,
968,TrainingRecordStatus,csi,
969,TrainingPlan,csi,
970,TrainingPlanDetail,csi,
971,TrainingRequirementGroup,csi,
972,TrainingReqGroupEntries,csi,
973,TrainingReqGroupGroups,csi,
974,TrainingReqGrpDfltForObjTypes,csi,
975,TrainingRecord,csi,
976,NCRCauseCodeGroupEntries,csi,
977,NCRCauseCodeGroupGroups,csi,
965,TrainingRequirementBase,csi,
1056,Computation,csi,
1007,LabelHistoryDetail,csi,
1041,CurrentStatusClearanceWorkStns,csi,
1042,RevisionedObjectGroup,csi,
1043,RevisionedObjectGroupEntries,csi,
1044,RevisionedObjectGroupGroups,csi,
1045,ModelingESigReq,csi,
1046,ModelingESigHistoryDetail,csi,
1047,BillOfProcessBase,csi,
1048,BillOfProcess,csi,
1049,BillOfProcessOverride,csi,
1039,ExportImportLog,csi,
1053,TimerEvent,csi,
1038,ExportImportDetail,csi,
1057,ComputationParamSpec,csi,
1058,UserConstant,csi,
1060,ComputationParamHistory,csi,
1061,ComputationHistory,csi,
1063,ComputationParamMap,csi,
1064,FailureMode,csi,
1065,FailureSeverity,csi,
1066,PriorityLevel,csi,
1067,FailureModeGroup,csi,
1731,HistoryMainlineMassUpdates,csi,
1050,BillOfProcessOverrideTxnMap,csi,
1027,MaintReqPastDueEmailTarget,csi,
1011,ReprintLabelHistory,csi,
1013,HistoryMainlineLabelSummaries,csi,
1014,MaintenanceReason,csi,
1015,MaintenanceReqBase,csi,
1016,MaintenanceReq,csi,
1017,MaintenanceClass,csi,
1018,MaintenanceStatus,csi,
1019,AssignedMaintReq,csi,
1022,CompleteMaintenanceHistory,csi,
1023,CompleteMaintenanceHistoryHist,csi,
1040,DataPointQueryParam,csi,
1026,MaintReqDueEmailTarget,csi,
948,NonconformanceReport,csi,
1028,MaintReqPendingEmailTarget,csi,
1029,MaintenanceStatusRI,csi,
1030,ModelingAuditTrail,40,
1031,ModelingAuditTrailHeader,40,
1032,SecurityAuditTrail,csi,
1033,SecurityAuditTrailHeader,csi,
1034,ExportImportHeader,csi,
1035,ExportImportQueue,csi,
1036,ImportHeaderData,csi,
1037,ImportContents,csi,
1024,CompleteMaintHistoryDetails,csi,
873,ERPBOM,csi,
950,NonconformanceReportNCRFailure,csi,
857,StepPassCountRI,csi,
861,ERPRoute,csi,
862,ERPRouteBase,csi,
863,RouteStep,csi,
864,BOMMaterialListItem,csi,
865,MfgOrderMaterialListItem,csi,
866,ContainerMaterialListItem,csi,
868,ProcessedTxnGUID,csi,
869,DBIdentifier,csi,
855,ProductionStatusRI,csi,
871,DBIdentifierHistory,csi,
854,ResourceDefRI,csi,
874,ERPBOMBase,csi,
875,DeleteContainer,csi,
876,DeleteHistory,csi,
877,DeleteHistoryLimit,csi,
878,Team,csi,
879,Shift,csi,
880,CalendarShift,csi,
881,MfgCalendar,csi,
883,ContainerDetail,csi,
884,ContainerDetailRI,csi,
870,DBIDConfiguration,csi,
830,ShipmentDestination,csi,
805,HoldReleaseHistoryDetail,csi,
806,HoldReleaseHistory,csi,
810,MenuDefinition,csi,
813,MenuItem,csi,
820,TransactionIdTable,csi,
821,WIPMsgHistoryDetail,csi,
822,StepSchedulingDetail,csi,
823,ChgAttrHistoryHistoryDetails,csi,
824,DefectHistoryHistoryDetails,csi,
825,HistoryCrossRefRI,csi,
856,StepPassCount,csi,
829,ComponentDistributeHistory,csi,
887,UserLabel,csi,
831,Site,csi,
834,SerializeHistoryDetails,csi,
835,SerializeHistory,csi,
837,ChangeStatusReason,csi,
838,ContainerStatusChangeHistory,csi,
840,MSMQManagers,csi,
848,OutboundXMLDocStatus,csi,
849,OutboundXMLDocStatusCode,csi,
852,DataTransport,csi,
853,ReworkStatusRI,csi,
826,OutboundXMLDoc,csi,
932,NCRFailureType,csi,
916,ESigRoleGroupEntries,csi,
917,ESigRoleGroupGroups,csi,
918,ESigRoleGrpDefForObjTypes,csi,
919,ESigCosignReason,csi,
920,ESigReqDetail,csi,
921,ESigRequirement,csi,
923,ESigHistoryDetail,csi,
924,ESigHistorySummary,csi,
926,HistoryMainlineESigSummaries,csi,
928,ReleaseReason,csi,
885,RestoreContainer,csi,
930,DispatchDetail,csi,
913,ESigMeaning,csi,
933,NCRResolutionCode,csi,
934,NCRResolutionCodeGroup,csi,
937,NCRResCodeGrpDefForObjTypes,csi,
938,NCRCauseCode,csi,
939,NCRCauseCodeGroup,csi,
942,NCRCauseCodeGrpDefForObjTypes,csi,
943,NCRFailureCode,csi,
944,NCRFailureCodeGroup,csi,
947,NCRFailCodeGrpDefForObjTypes,csi,
1069,FailureModeGroupGroups,csi,
929,DispatchRule,csi,
900,HistoryViewHistViewDtls,csi,
949,NonconformanceReportRI,csi,
888,DictionaryLabel,40,
889,UserQuery,csi,
890,UserQueryParameter,csi,
891,IDControl,csi,
892,UserQueryUserQueryParameters,csi,
894,XMLConnectPropagatorConfig,csi,
895,OutboundXMLDocProcessing,csi,
896,HistViewDtl,csi,
897,HistoryView,csi,
915,ESigRoleGroup,csi,
899,HistViewDtlUIFields,csi,
914,RoleDef,csi,
901,UIPrefFieldDef,csi,
902,ChgContainerAttrHistory,csi,
904,ContainerMaintHistory,csi,
906,ContainerMaintHistDetail,csi,
907,OrderType,csi,
